id,artwork_id,description_id,nombre
207,2,82,Matrimonio
87260,2,82,Matrimonio
21240,3,58,Familia
21242,3,92,Nacimiento
21246,3,10,Ángeles / querubines
21249,3,225,Cama
21251,3,342,Bebé
127039,3,225,Cama
22841,4,35,Cortinaje
22842,4,47,Emblema
132056,4,289,Hábito
73940,5,291,Apóstoles 
73943,6,291,Apóstoles 
50970,7,245,Monjas 
50971,7,245,Monjas 
50974,7,60,Franciscanos
50975,7,100,Paisaje
136787,7,100,Paisaje
131334,7,447,Estola
132057,7,289,Hábito
55502,8,10,Ángeles / querubines
50978,9,60,Franciscanos
50979,9,245,Monjas 
50980,9,245,Monjas 
50984,9,60,Franciscanos
131335,9,447,Estola
132058,9,289,Hábito
85423,10,429,Tintero y pluma
142415,10,429,Tintero y pluma
71376,10,429,Tintero y pluma
142828,10,429,Tintero y pluma
50990,11,245,Monjas 
50991,11,245,Monjas 
50995,11,60,Franciscanos
50996,11,100,Paisaje
128296,11,285,Cíngulo
136788,11,100,Paisaje
131336,11,447,Estola
132059,11,289,Hábito
144162,11,163,Túnica
128297,13,285,Cíngulo
55505,14,10,Ángeles / querubines
129318,14,726,Cuchillo / daga  
61886,16,735,Cuerda / soga  (atadura)
112976,16,735,Cuerda / soga  (atadura)
129720,16,735,Cuerda / soga  (atadura)
129721,16,735,Cuerda / soga  (atadura)
51001,19,10,Ángeles / querubines
51002,19,10,Ángeles / querubines
51003,19,35,Cortinaje
51004,19,245,Monjas 
51005,19,245,Monjas 
51009,19,60,Franciscanos
131657,19,450,Farol / lámpara
132060,19,289,Hábito
144163,19,163,Túnica
23455,20,291,Apóstoles 
23458,20,163,Túnica
37571,21,10,Ángeles / querubines
37572,21,47,Emblema
37573,21,102,Patrocinio
37575,21,163,Túnica
130926,21,42,Escapulario
133552,21,441,Hostia
112977,22,735,Cuerda / soga  (atadura)
129722,22,735,Cuerda / soga  (atadura)
55509,23,10,Ángeles / querubines
60600,24,10,Ángeles / querubines
60601,24,10,Ángeles / querubines
60602,24,20,Carmelita
60610,24,245,Monjas 
60611,24,245,Monjas 
60616,24,99,Órdenes religiosas
60617,24,100,Paisaje
60618,24,10,Ángeles / querubines
60619,24,10,Ángeles / querubines
136789,24,100,Paisaje
131710,24,678,Flechas
132061,24,289,Hábito
89258,24,429,Tintero y pluma
142829,24,429,Tintero y pluma
144164,24,163,Túnica
144165,24,163,Túnica
144166,24,163,Túnica
146533,24,242,Velo
81831,26,10,Ángeles / querubines
46640,28,10,Ángeles / querubines
92680,29,346,Obispo / arzobispo
92681,29,473,Pluma
128005,29,255,Casulla
77321,29,429,Tintero y pluma
142830,29,429,Tintero y pluma
92685,30,364,Sombrero
139960,30,364,Sombrero
40614,31,84,Mesa
115330,31,15,Biblioteca
61246,32,735,Cuerda / soga  (atadura)
61249,32,157,Soldados
129723,32,735,Cuerda / soga  (atadura)
129724,32,735,Cuerda / soga  (atadura)
45490,33,669,Platos
127040,33,225,Cama
138721,33,669,Platos
80743,34,157,Soldados
124426,34,490,Antorcha
127837,34,11,Armadura / yelmo
129725,34,735,Cuerda / soga  (atadura)
144167,34,163,Túnica
62751,35,291,Apóstoles 
62752,35,225,Cama
62753,35,35,Cortinaje
62754,35,121,Sueño
69991,36,291,Apóstoles 
69992,36,10,Ángeles / querubines
129051,36,303,Corona de laurel
36356,37,10,Ángeles / querubines
36358,37,536,Camino 
36360,37,150,Naturaleza
36361,37,100,Paisaje
127311,37,536,Camino 
127810,37,100,Paisaje
144168,37,163,Túnica
144169,37,163,Túnica
146534,37,242,Velo
89219,38,10,Ángeles / querubines
89220,38,10,Ángeles / querubines
83639,39,534,Ánfora
66095,40,10,Ángeles / querubines
66096,40,735,Cuerda / soga  (atadura)
129319,40,726,Cuchillo / daga  
129726,40,735,Cuerda / soga  (atadura)
130368,40,43,Disciplina
131276,40,412,Espinas
51013,41,245,Monjas 
51014,41,245,Monjas 
51018,41,60,Franciscanos
131337,41,447,Estola
131658,41,450,Farol / lámpara
132062,41,289,Hábito
144170,41,163,Túnica
3781,42,11,Armadura / yelmo
3782,42,100,Paisaje
3784,42,150,Naturaleza
134258,42,576,Lago
5178,42,429,Tintero y pluma
142831,42,429,Tintero y pluma
61891,43,735,Cuerda / soga  (atadura)
129727,43,735,Cuerda / soga  (atadura)
139,44,58,Familia
30147,45,10,Ángeles / querubines
30148,45,99,Órdenes religiosas
30149,45,101,Papa
58015,46,20,Carmelita
58019,46,245,Monjas 
58020,46,245,Monjas 
58024,46,99,Órdenes religiosas
58025,46,100,Paisaje
136790,46,100,Paisaje
132063,46,289,Hábito
139961,46,364,Sombrero
58028,47,10,Ángeles / querubines
58029,47,10,Ángeles / querubines
58030,47,20,Carmelita
58034,47,245,Monjas 
58035,47,245,Monjas 
58039,47,99,Órdenes religiosas
58040,47,100,Paisaje
58041,47,10,Ángeles / querubines
58042,47,10,Ángeles / querubines
