id,name
1,https://i.pinimg.com/originals/ee/ba/19/eeba19f44d44df27d930cc0741dd1d8a.jpg
2,Silvia Bogui. Museo Colonial Charcas.
3,"KATZEW, Ilona, et al. Trastoques y elipsis en un retrato de tornaviaje: la ductilidad de los mensajes. 2020."
4,"MAZA, Francisco de la, et al. Cuarenta siglos de arte Mexicano. México: Herrero, 1981."
5,"Lorenzo García et Al. El monasterio del Carmen de la Asunción de Cuenca. Quito Banco Central del Ecuador, 1986."
6,"MAQUIVAR, María Consuelo. Ángeles y arcángeles. México: Mexial Banpais, 1993."
7,"Kennedy Troya, Alezandra; Ortiz Crespo, Alfonso. Recoleta de San Diego de Quito. Historia y restauración. Quito: Banco central del ecuador, 1982"
8,"Ximena Carcelén ed. Y curaduría. Vivir para morir una Mirada a través del arte. Museo de arte colonial, quito, 2014."
9,"José Gabriel Navarro, Contribuciones a la historia del arte en el ecuador. Quito: editorial Trama y Fonsal, 2007."
10,Fotografía Agisdo do Nascimiento Rodrigues
11,"José María Vargas El arte ecuatoriano en el siglo XIX. Quito Banco central del ecuador, 1984."
12,"TORD, Luis Enrique. Arequipa artística y monumental. Lima: Banco del Sur del Perú, 1987."
13,"DONAHUE-WALLACE, Kelly. Art And Architecture of Viceregal Latín América, 1521-1821. Alburquerque: University of New Mexico Press, 2008."
14,https://www.urosario.edu.co/Museo/Coleccion/
15,"Jacinto Jijon y Caamaño, Breves consideraciones sobre el arte quiteño. Quito, Pontifica universidad del ecuador, 1976"
16,"BAILEY, Gauvin Alexander. Art of Colonial Latin America. Londres: Phaidon, 2005."
17,"José María Vargas Op. Museo Jacinto Jijon y Caamaño y el patrimonio artístico. Quito: centro de publicacioines de la pontifica universidad católica del Excuador, 1978"
18,"Banco de los Andes. Coloristas quiteños 1730-1835. Quito, Banco de los Andes, 1990."
19,"AA.VV. Arte barroca brasileira. São Paulo: Decep, 1995."
20,"FERNÁNDEZ SALVADOR, Carmen y Alfredo Costales. Arte colonial quiteño. Renovado enfoque y nuevos actores. Quito: Fonsal, 2007."
21,Fotografía Doris Bienko 
22,"SALVAT, Juan y Eduardo Crespo. Arte ecuatoriano, tomo II. Quito: Salvat Editores Ecuatoriana S.A., 1976."
23,"CRESPO TORAL, Hernán et al. Arte Ecuatoriano, tomo II. Quito: Salvat, 1976."
24,"BARDI, Pietro Maria. Arte No Brasil. São Paulo: Livros Abril, 1982."
25,"RODRÍGUEZ MOYA, Inmaculada (ed). Arte, poder e identidad en Iberoamérica: de los virreinatos a la construcción nacional. Barcelona: Universitat Jaume I, 2008."
26,"ORTIZ CRESPO, Alfonso y Adriana Pacheco Bustillos. Arte quiteño más allá de Quito. Memorias del seminario internacional. Quito: Fonsal, 2010."
27,"VARGAS, José María. Arte Quiteño Colonial. Quito: Litografía e imprenta Romero, 1944."
28,"KENNEDY TROYA, Alexandra.  Arte de la Real Audiencia de Quito, siglos XVII-XIX: patronos, corporaciones y comunidades. Hondarribia: Nerea, 2002."
29,"Museo Nacional de Bellas Artes, Santiago de Chile. Exposición José Gil de Castro, pintor de libertadores."
30,Pinterest 
31,"LAVALLE, José Antonio y Werner Lang. Arte y tesoros del Perú. Lima: Santiago Valverde S.A, 1978."
32,"Retrato Novohispano. Artes de México, No. 25 (julio-agosto 1994)."
33,http://www.bellasartes.co.cu/galeria/arte-en-la-colonia
34,"PIERCE, Donna. The arts of South America,1492-1850: papers from the 2008 Mayer Center Symposium at the Denver Art Museum. Denver: Denver Art Museum, 2010."
,
36,"TRUSTED, Marjorie. The arts of Spain: Iberia and Latin América,1450-1700. London: Victoria and Albert Museum Publications; New York: The Hispanic Society of America, 2007."
37,https://issuu.com/mortonsubastas/docs/870_antigu_edades_cata_logo_digital
38,ArtStore.
39,"GONZALEZ CARRÉ, Enrique et al. Ayacucho. San Juan de la Frontera de Huamanga. Lima: Banco de Crédito del Perú, 1997."
40,"GJURINOVIC, Pedro y Eduardo Barbosa. Vicerregal Peruvian Art, Barbosa Stern Collection. Lima: Museum of Modern Art of Latin America, 1989."
