id,Nombre,Nombre de registro
1,Desconocido,0 Desconocido
2,Múltiples gestos,0 Múltiples gestos
3,Suplico ora: implorar,"A01 Suplico ora, implorar"
4,Oro: pedir misericordia,"A02 Manos oro, pedir misericordia"
5,Ploro: condolerse,"A03 Ploro, condolerse"
6,"Dos manos arriba: admira, halaga","A04 Dos manos arriba, admira halaga"
7,"Aplaudir: aprobar, disfrutar","A05 Aplaudir, aprobar disfrutar"
8,"Mano golpea palma: error, ira, indigna","A06 Mano palma golpean: error, ira, indigna"
9,Puño pega palma: lenguaje de burla,A07 Puño pegar palma: lenguaje de burla
10,"Brazo abatidos: desesperación, sin valor","A08 Brazo abatidos: desesperación, sin valor"
11,"Mano sobre otra: pereza, sueño","A09 Mano sobre otra, pereza, sueño"
12,"Dedos entrelazados: débil, melancólico","A10 Dedos entrelazadas, Débil melancólico"
13,Puño lavado mano: probar inocencia,"A11 puño mano lavado, probar inocencia"
14,"Frotar palmas: codicia, engaño","A12 Frotar palmas, codicia engaño"
15,Manos paralelas al frente: recibir,"A13 Paralelas al frente, recibir"
16,Manos paralelas: entrega al otro,"A13B Manos paralelas, entrega al otro"
17,Brazo extendido arriba: protejo,"A14 Brazo extendido, protego"
18,Mano y brazo extendida: triunfo,"A15 Mano brazo extendida, triunfo"
19,Mano levantada: silencio,"A16 Mano levantada, silencio"
20,Mano levantada: juro,"A17 Mano levantada, juro"
21,"Dos brazos arriba: asevera, doble juramento","A18 Dos brazos arriba, asevera doble juramento"
22,"Mano levantada: aprobar, obediencia","A19 Mano levantada, sufrago aprobar obediencia"
23,"Mano atrás: rechazar, repudiar","A20 Mano atrás rechazo, repudiar"
24,Mano adelante: invitar,"A21 Mano adelante, invitar"
25,"Mano frente: rechazo, despedir, (también castigo)","A22 Mano frente rechazo, despedir (otra castigo)"
26,"Puño arriba: enojo, amenaza, odio","A23 Mano puño arriba, enojo amenaza odio"
27,Mano extendida: mendigar,"A24 Mano extendida, mendigar"
28,"Extendida adelante: limosna, generoso, libre","A25 Extendida adelante limosna, generoso, libre"
29,"Extender brazo al auxilio: piedad, dar alivio","A26 Auxilio extender mano, piedad dar alivio"
30,"Extender mano a alguien en piso: lástima, conmiseración","A27 Extender mano alguien piso, lástima conmiseración"
31,"Mano abierta golpeando: enojo, impaciencia","A28 Mano abierta golpeando, enojado impaciente"
32,Mover mano hombros al frente: animar,"A29 Mover mano hombros al frente, animar"
33,Levantar derecha estirada: hacer algo,A30 levantar derecha estirada hacer algo
34,Entregar algo,A31 Entregar algo
35,Movimiento afememinado: ayuda a sí mismo,"A32 Movimiento afememinado, ayuda a si mismo"
36,Palma arriba extendida: no posee nada,"A33 Mano extendida palma arriba, no posee nada"
37,Mano estirada: castigo,A34 Mano estirada castigo (po A22)
38,"Puño: venganza, reclama justicia","A35 Puño venganza, justicia reclama"
39,"Golpe palma sobre superficie: reprender, corregir","A36 Golpe con la palma sobre superficie o alguien, reprender y corregir"
40,Agarra: acción de autoridad,"A37 Agarra alguien, acción autoridad"
41,Quitar mano sobre alguien: liberar,"A38 Quitar mano sobre alguien, liberar"
42,"Tocar espalda: Incitar, animar","A39 Tocar golpear espalda, Incitar animar"
43,"Acariciar cabeza: humor, afecto","A40 Acariciar cabeza, humor afecto"
44,Sostener suave mano: amonestar o persuadir,"A41 Sostener suave mano, amonestar o persuadir"
45,Apoyar mano en otro: confianza amistad,"A42 Apoyar mano en otro, confianza amistad"
46,Impedir agarrar mano: detener obstaculos,"A43 impedir agarrar mano, detener obstaculos"
47,Empujar con codo: recuerdo,"A44 Codo empujar, tomar recuerdo"
48,"Entregar tomar mano: presentar, recomendar","A45 Recomen tomar mano, presentar recomendar"
49,Llevar de la mano: cuidar débiles,"A46 Llevar mano, cuidar débiles"
50,"Mano cabeza: angustia, tristeza","A47 mano cabeza: angustia y tristeza, acusa o justifica si"
51,"Rascarse cabeza: angustia, reflexión","A48 Rascarse cabeza, angustia, reflexión"
52,Taparse la cara: vergüenza,"A49 Taparse la cara, Vergüenza"
53,"Besar mano: adora, respeto","A50 Besar mano, adora respeto"
54,"Mandar beso: amor, respeto a lejanos","A51 Mandar beso, amor respeto lejanos"
55,"Mano abierta sobre corazón: afirmar testimonio, jura","A52 Mano abierta corazón inclinado, afirmar testimonio jura"
56,"Golpe de pecho: dolor, contriccion, vergüenza","A53 Golpe pecho, Dolor contriccion vergüenza"
57,"Mano espalda, cadera: dolor","A54 Mano espalda, cadera dolor"
58,"Golpearse muslo: enojo, admiracion, asombro","A55 Golpearse muslo C31, enojo, admiracion, asombro, error"
59,"Dar mano con golpe: fe, fidelidad, compromiso","A56 Data fide dar mano golpe, fe fidelidad compromiso"
60,"Dar mano: amistad, saludo, benevolencia","A57 Reconcilio dar mano, amistad, saludo, benevolencia"
61,"Exprimir mano: amor, deber, suplica, virtud","A58 Exprimir mano amor deber suplica, virtud"
62,"Quitar mano al darla: enemistad, rabia","A59 Quitar mano darla, enemistad rabia"
63,Abrazar: tenerlo en corazón,"A60 Abrazar, tenerlo en corazón"
64,"Besar dedo: fe, lealtad, reverencia","A61 Besar dedo, fe lealtad reverencia"
65,"Ofrecer mano para beso: muestra de orgullo, desdén","A62 Ofrecer mano beso, muestra de orgullo, desden"
66,"Mano bolsillo: robo, trampa","A63 Mano I robo, trampa"
67,"Mano extendida frente: bendecir, absolución, perdón","A64 Mano frente bendecir, absolución perdon bendecir"
68,"Dedo en boca: meditación, arrepentido, envidia","B01 Dedo en boca, meditación, arrepentido, envidia"
69,"Llorar: tristeza, sentimiento","B02 llorar, tristeza, sentimiento"
70,Pulgar arriba: aprobación,"B03 Gordo arriba, aprobación"
71,"Pulgares arriba: ensalzar, algo muy importante","B04 Gordos arriba, ensalzar muy importante"
72,"Señalar con pulgar: movimiento de mente, argumentos","B05 Gordo señala, movimiento de mente argumentos"
73,"Señalar con dedo: mando, orden, traicionar","B06 Indicar mando orden, traicionar, arrogante"
74,Indice arriba: amenaza,"B07 Indice, amenaza"
75,"Besar indice: reverencia, honor",B08 Besar indice reverencia honor
76,"Dedo a la boca: silencio, ignorancia","B09 Dedo boca, silencio, ignorancia"
77,"Indice agachado: contrario, silencio","B10 Indice agachado, contrario silencio"
78,"Indice a la cara: mover, llamar a sí","B11 Indice a la cara, mover llamar a sí"
79,"Indice inclinado: veto, retractarse","B12 Indice Veto, retractarse"
80,Tocar algo: curiosidad por tacto,B13 Tocar algo curiosidad por tacto
81,"Rascarse con dedos: imprudencia, afememinado","B14 Rascarse con dedos, imprudencia afememinado"
82,"Medio estirado, lado encogidos (pistola): desprecio, burla","B15 Pistola, desprecio burla"
83,"Chasquido: desprecio, insulto","B16 Chasquido D26 chasquido, desprecio insulto"
84,"Empujar algo dedos: castigo, ironía, burla, vanidad","B17 Empujar algo dedos, chasquido dedos, castigo, ironia, burla, vanidad cosas"
85,Llamar con meñique: provocar despectivamente,"B18 Llamar con meñique, provocar despectivamente"
86,"Pulgar agarrado entre mano: avaricia, tacañería","B19 Pulgar agarrado entre mano, avaricia, tacañería"
