id,artwork_id,engraving_id,nombre
48305,2,2,Personaje colectivo
48306,2,8,Edad: adulto
48307,2,9,Edad: anciano
48308,2,11,Personaje: contacto corporal
48309,2,14,Género masculino/femenino
48310,2,15,Escena: simple
48311,2,17,Personajes: sagrados y profanos
24606,3,2,Personaje colectivo
24607,3,6,Edad: niñez
24608,3,8,Edad: adulto
24609,3,10,Personaje: desnudo parcial / total
24610,3,11,Personaje: contacto corporal
24611,3,12,Presencia: niños
24612,3,14,Género masculino/femenino
24613,3,15,Escena: simple
24614,3,17,Personajes: sagrados y profanos
78996,4,7,Edad: adolescencia-juventud
78997,4,8,Edad: adulto
78998,4,6,Edad: niñez
78999,4,15,Escena: simple
79000,4,14,Género masculino/femenino
79001,4,2,Personaje colectivo
79002,4,19,Personajes: sagrados
79003,4,12,Presencia: niños
81070,5,8,Edad: adulto
81071,5,9,Edad: anciano
81072,5,16,Escena: compuesta
81073,5,4,Género masculino
81074,5,11,Personaje: contacto corporal
81075,5,3,Personaje individual
81076,5,17,Personajes: sagrados y profanos
81077,6,8,Edad: adulto
81078,6,9,Edad: anciano
81079,6,15,Escena: simple
81080,6,4,Género masculino
81081,6,10,Personaje: desnudo parcial / total
81082,6,17,Personajes: sagrados y profanos
7781,7,3,Personaje individual
7782,7,5,Género femenino
7783,7,8,Edad: adulto
7784,7,15,Escena: simple
7785,7,19,Personajes: sagrados
7786,9,2,Personaje colectivo
7787,9,5,Género femenino
7788,9,8,Edad: adulto
7789,9,16,Escena: compuesta
7790,9,18,Personajes: profanos
57734,10,8,Edad: adulto
57735,10,15,Escena: simple
57736,10,4,Género masculino
57737,10,2,Personaje colectivo
57738,10,19,Personajes: sagrados
57739,10,13,Presencia: animales
7791,11,2,Personaje colectivo
7792,11,8,Edad: adulto
7793,11,13,Presencia: animales
7794,11,14,Género masculino/femenino
7795,11,16,Escena: compuesta
7796,11,17,Personajes: sagrados y profanos
39592,12,3,Personaje individual
39593,12,4,Género masculino
39594,12,8,Edad: adulto
39595,12,15,Escena: simple
39596,12,16,Escena: compuesta
39597,12,19,Personajes: sagrados
57740,13,8,Edad: adulto
57741,13,15,Escena: simple
57742,13,4,Género masculino
57743,13,3,Personaje individual
57744,13,12,Presencia: niños
47556,16,3,Personaje individual
47557,16,4,Género masculino
47558,16,8,Edad: adulto
47559,16,15,Escena: simple
47560,16,19,Personajes: sagrados
41893,17,2,Personaje colectivo
41894,17,4,Género masculino
41895,17,8,Edad: adulto
