id,name,descripto
656,Abejas / panal,
605,Acetre (caldero agua bendita),
1,Agnus Dei,
2,Agua,
3,Águila,
4,Alas,
5,Alba,
6,Alma,
7,Altar,
8,Anagrama,
9,Ancla,
11,Anillo ,
12,Animales,
588,Animas del purgatorio,
14,Árbol ,
16,Arca de la alianza,
17,Arco iris,
18,Arco y carcaj ,
335,Arma ,
20,Arpa,
699,Aura,
22,Aureola ,
10,Aureola con estrellas,
23,Aureola de rayos o luz ,
26,Azucenas,
27,Báculo,
28,Balanza,
31,Barco,
556,Bastón florido ,
471,Batalla,
455,Bautismo,
633,Beso,
38,Bosque,
40,Buey,
41,Burro / Asno ,
42,Caballo,
311,Cabeza ,
44,Cadena,
53,Caña,
50,Canasta ,
52,Cántaro,
54,Capa ,
676,Capa real o de armiño,
55,Cárcel / celda ,
56,Carro de triunfo,
61,Cayado / Bastón ,
62,Cedro,
631,Cena / banquete ,
390,Centauro,
66,Cetro ,
67,Charitas ,
68,Chelo ,
404,Cielo / paraíso ,
70,Cilicios,
72,Ciprés,
375,Cisne,
74,Ciudad ,
76,Clavel,
77,Clavos,
448,Clero,
80,Collar,
81,Columna ,
83,Concha,
46,Copa / Cáliz ,
85,Copón y ostia,
86,Corazón ,
87,Corazón flameante,
88,Cordero,
89,Cordón ,
91,Cornucopia,
92,Corona,
93,Corona de espinas,
94,Corona de flores,
569,Correa,
96,Corte celestial,
97,Cortinas ,
99,Cráneo,
102,Cruz / crucifijo ,
109,Cueva ,
111,Custodia,
112,Dados,
473,Decapitación,
113,Demonio ,
690,Descalzo,
411,Devoción,
340,Diente,
116,Dragón,
379,Eclipse,
117,Edificación / iglesia ,
118,Elefante,
706,Enfermos / enfermedad ,
119,Escalera ,
123,Escudo ,
594,Escultura ,
124,Esfera / mundo ,
125,Espada ,
126,Espada flamigera,
127,Espejo,
589,Esqueleto,
370,Estandarte ,
133,Estigma ,
135,Estrella ,
544,Flagelación ,
654,Florero ,
142,Flores ,
365,Frutas / verduras,
144,Fuego ,
774,Fuente / pila ,
324,Gallo,
356,Gato,
146,Granada,
492,Grillete,
319,Guante,
325,Halo de luz ,
149,Herida / llaga,
157,Huerto,
158,Huevo ,
705,Imposición de mano,
160,Incensario  ,
704,Infierno,
780,Instrumento de martirio ,
797,Instrumentos científicos ,
768,Instrumentos de cartografía,
162,Instrumentos de disciplina,
163,Instrumentos musicales ,
164,Jardín ,
166,Jilguero,
167,Joyas,
358,Laberinto,
168,Lagar,
585,Lágrima,
170,Lámpara,
174,Laurel ,
624,Lavatorio,
175,Leche,
176,León,
177,Libro ,
178,Lirio,
181,Llave,
183,Luna ,
15,Mandorla,
185,Manto,
427,Manzana ,
770,Mártir / martirio ,
665,Mirra,
193,Mitra episcopal,
37,Monedas ,
303,Mono / mico,
493,Monstruo,
200,Niños,
201,Nube,
202,Obelisco,
457,Ofrenda,
304,Olivo,
791,Orden de Santiago,
664,Oro,
206,Oveja,
208,Pájaro / aves ,
21,Palma con tres coronas,
210,Palma del martirio ,
418,Palmera,
211,Paloma ,
212,Pan,
639,Pan y Vino,
213,Pastor,
214,Pavo real,
215,Pelícano,
216,Perfume,
218,Perro,
226,Pobreza (mendigo) ,
228,Pompas de jabón,
229,Pozo,
546,Puente,
230,Puerta ,
345,Ramas de olivo,
232,Rayo / trueno ,
233,Rebaño,
235,Reloj ,
279,Rollo,
290,Rompimiento de gloria,
239,Rosario ,
383,Rosas,
509,Ruinas,
779,Sacerdote,
244,Sangre,
245,Sello,
246,Seno ,
649,Sepulcro / muerte ,
247,Serpiente ,
789,Silla / trono ,
249,Símbolos de la pasión,
251,Sol,
795,Tabernáculo,
638,Templo ,
360,Tiara papal ,
258,Timón,
260,Torre ,
262,Triángulo equilátero ,
305,Trigo ,
433,Trinidad,
294,Trompeta ,
266,Unicornio,
350,Uróboros,
268,Uvas,
287,Vasija ,
273,Vela ,
447,Viacrucis,
182,Vicios y virtudes,
599,Viñedo / vino ,
