id,artwork_id,artwork_symbol_id,nombre,
270,2,273,Vela ,
104466,6919,656,Abejas / panal,
73049,2,556,Bastón florido ,
41,3,22,Aureola ,
864,3,142,Flores ,
23038,3,26,Azucenas,
104467,885,41,Burro / Asno ,
23040,3,92,Corona,
104468,1979,41,Burro / Asno ,
437,4,92,Corona,
24528,4,22,Aureola ,
104469,10830,41,Burro / Asno ,
24530,4,185,Manto,
104470,10842,41,Burro / Asno ,
1370,5,599,Viñedo / vino ,
1379,5,212,Pan,
62981,6,22,Aureola ,
62982,6,639,Pan y Vino,
46020,7,208,Pájaro / aves ,
46022,7,111,Custodia,
104471,14576,41,Burro / Asno ,
104472,16770,41,Burro / Asno ,
46025,7,177,Libro ,
46026,7,325,Halo de luz ,
104473,17011,41,Burro / Asno ,
46063,7,89,Cordón ,
49009,8,273,Vela ,
49010,8,93,Corona de espinas,
49011,8,102,Cruz / crucifijo ,
105407,2,556,Bastón florido ,
132852,2,779,Sacerdote,
106217,3,142,Flores ,
127235,4,92,Corona,
119472,5,631,Cena / banquete ,
119473,6,631,Cena / banquete ,
131294,6,639,Pan y Vino,
49012,8,119,Escalera ,
107851,8,249,Símbolos de la pasión,
46030,9,325,Halo de luz ,
46031,9,201,Nube,
46032,9,404,Cielo / paraíso ,
86757,9,111,Custodia,
71373,10,142,Flores ,
71374,10,177,Libro ,
71375,10,325,Halo de luz ,
106878,10,142,Flores ,
122437,10,177,Libro ,
46033,11,22,Aureola ,
46034,11,208,Pájaro / aves ,
46036,11,89,Cordón ,
46037,11,102,Cruz / crucifijo ,
46038,11,111,Custodia,
86759,11,201,Nube,
86761,11,89,Cordón ,
105067,11,208,Pájaro / aves ,
48373,12,89,Cordón ,
48374,12,99,Cráneo,
48375,12,102,Cruz / crucifijo ,
113818,12,14,Árbol ,
71380,13,142,Flores ,
71381,13,177,Libro ,
106879,13,142,Flores ,
122438,13,177,Libro ,
49013,14,92,Corona,
49014,14,102,Cruz / crucifijo ,
49016,14,133,Estigma ,
49017,14,185,Manto,
107852,14,249,Símbolos de la pasión,
70098,15,53,Caña,
70099,15,99,Cráneo,
70100,15,102,Cruz / crucifijo ,
70101,15,102,Cruz / crucifijo ,
70102,15,102,Cruz / crucifijo ,
70103,15,249,Símbolos de la pasión,
105583,15,99,Cráneo,
107902,15,249,Símbolos de la pasión,
112218,15,247,Serpiente ,
129331,15,102,Cruz / crucifijo ,
525,16,93,Corona de espinas,
53275,16,22,Aureola ,
101087,16,185,Manto,
127549,16,92,Corona,
55664,17,54,Capa ,
55665,18,4,Alas,
46044,19,23,Aureola de rayos o luz ,
46047,19,97,Cortinas ,
46048,19,111,Custodia,
46064,19,89,Cordón ,
86764,19,4,Alas,
25358,20,22,Aureola ,
25359,20,177,Libro ,
36410,21,23,Aureola de rayos o luz ,
36411,21,92,Corona,
36413,21,210,Palma del martirio ,
450,22,92,Corona,
53277,22,22,Aureola ,
53278,22,53,Caña,
53279,22,93,Corona de espinas,
101088,22,185,Manto,
101089,22,244,Sangre,
112318,22,244,Sangre,
127550,22,92,Corona,
49018,23,23,Aureola de rayos o luz ,
49019,23,46,Copa / Cáliz ,
49020,23,77,Clavos,
49021,23,81,Columna ,
49022,23,93,Corona de espinas,
49023,23,119,Escalera ,
49024,23,133,Estigma ,
49025,23,273,Vela ,
49026,23,319,Guante,
107853,23,249,Símbolos de la pasión,
52408,24,23,Aureola de rayos o luz ,
52409,24,86,Corazón ,
52410,24,87,Corazón flameante,
52411,24,92,Corona,
52412,24,211,Paloma ,
52414,24,142,Flores ,
52416,24,193,Mitra episcopal,
52417,24,325,Halo de luz ,
52420,24,18,Arco y carcaj ,
52421,24,201,Nube,
52423,24,556,Bastón florido ,
52427,24,123,Escudo ,
89257,24,211,Paloma ,
89259,24,185,Manto,
89260,24,185,Manto,
89263,24,142,Flores ,
108670,24,433,Trinidad,
73141,25,93,Corona de espinas,
73142,25,99,Cráneo,
73143,25,102,Cruz / crucifijo ,
73144,25,102,Cruz / crucifijo ,
73145,25,102,Cruz / crucifijo ,
105627,25,99,Cráneo,
129454,25,102,Cruz / crucifijo ,
68680,26,61,Cayado / Bastón ,
68681,26,142,Flores ,
68682,26,200,Niños,
68683,26,251,Sol,
68685,26,54,Capa ,
106791,26,142,Flores ,
124043,26,200,Niños,
42513,27,26,Azucenas,
42514,27,44,Cadena,
42515,27,135,Estrella ,
42516,27,290,Rompimiento de gloria,
130837,27,411,Devoción,
42527,28,22,Aureola ,
42528,28,44,Cadena,
42529,28,163,Instrumentos musicales ,
42530,28,201,Nube,
130838,28,411,Devoción,
77319,29,177,Libro ,
77320,29,193,Mitra episcopal,
122600,29,177,Libro ,
38459,31,54,Capa ,
38460,31,102,Cruz / crucifijo ,
38461,31,177,Libro ,
103050,31,11,Anillo ,
116899,31,54,Capa ,
121814,31,177,Libro ,
128859,31,102,Cruz / crucifijo ,
132603,31,779,Sacerdote,
503,32,93,Corona de espinas,
1347,32,61,Cayado / Bastón ,
52824,32,22,Aureola ,
41702,33,22,Aureola ,
41704,33,135,Estrella ,
41705,33,142,Flores ,
41707,33,706,Enfermos / enfermedad ,
106484,33,142,Flores ,
131517,33,706,Enfermos / enfermedad ,
67458,34,50,Canasta ,
67459,34,92,Corona,
67460,34,185,Manto,
67466,34,160,Incensario  ,
67467,34,664,Oro,
67468,34,665,Mirra,
116305,34,42,Caballo,
53899,35,273,Vela ,
53900,35,102,Cruz / crucifijo ,
53901,35,177,Libro ,
59536,36,210,Palma del martirio ,
104476,37,41,Burro / Asno ,
33,37,41,Burro / Asno ,
35511,37,2,Agua,
35512,37,4,Alas,
35514,37,418,Palmera,
35516,37,14,Árbol ,
35517,37,61,Cayado / Bastón ,
35518,37,185,Manto,
35522,37,54,Capa ,
35523,37,54,Capa ,
74474,38,211,Paloma ,
74475,38,61,Cayado / Bastón ,
106979,38,142,Flores ,
70108,39,99,Cráneo,
70109,39,102,Cruz / crucifijo ,
70110,39,102,Cruz / crucifijo ,
70111,39,102,Cruz / crucifijo ,
105584,39,99,Cráneo,
129332,39,102,Cruz / crucifijo ,
56374,40,433,Trinidad,
126021,40,81,Columna ,
46054,41,404,Cielo / paraíso ,
46065,41,89,Cordón ,
86766,41,170,Lámpara,
5171,42,2,Agua,
5172,42,4,Alas,
5174,42,123,Escudo ,
5175,42,125,Espada ,
5177,42,185,Manto,
132106,42,125,Espada ,
527,43,93,Corona de espinas,
1355,43,61,Cayado / Bastón ,
53281,43,53,Caña,
112320,43,244,Sangre,
127551,43,92,Corona,
30512,45,117,Edificación / iglesia ,
132447,45,779,Sacerdote,
50888,46,61,Cayado / Bastón ,
50889,46,42,Caballo,
50890,46,74,Ciudad ,
116252,46,42,Caballo,
116253,46,42,Caballo,
50899,47,201,Nube,
50900,47,404,Cielo / paraíso ,
87727,47,4,Alas,
87728,47,185,Manto,
118651,47,404,Cielo / paraíso ,
50903,48,125,Espada ,
50905,48,181,Llave,
