id,name
2,Acuarela
3,Biombo Óleo Tela
4,Ceras
5,Grabado en hojalata
6,Grabado en seda
7,Grabado iluminado
8,Óleo aguafuerte
9,Óleo alabastro
10,Óleo madera techo
11,Óleo mármol
12,Óleo sobre cuero
13,Óleo / acuarela sobre hueso
14,Óleo sobre madera
15,Óleo sobre papel
16,Óleo sobre tela
17,Óleo sobre nácar o madreperla
18,Pintura mural
19,Plumaria
20,Fotografía
21,Tabla Enconchada
22,Tapiz
23,Técnica mixta madera
24,Técnica mixta Óleo tela madera
25,Técnica mixta sobre tela
26,Temple madera
27,Temple tela
28,Azulejo
29,Óleo en papel sobre madera
30,Óleo sobre lámina / cobre / zinc
31,Óleo sobre grabado
32,Óleo porcelana
33,Óleo sobre concha
34,Temple sobre marfil
35,Acuarela sobre marfil
36,Grabado
37,Témpera sobre tela
38,Sepia sobre papel
39,Grafito sobre papel
40,Pastel
41,Tinta sobre papel
42,Sepia sobre marfil
43,Esmalte sobre porcelana
44,Gouache
45,Esmalte sobre cobre
46,Óleo sobre marfil
47,Óleo sobre vidrio
48,Grafito sobre tela
49,Miniatura
50,Óleo sobre plata
51,Óleo sobre piedra
52,Grabado metal bordado
53,Grabado metal iluminado
54,Oleo sobre carey
55,Óleo sobre espejo
56,Temple sobre algodón
57,Óleo sobre pergamino
58,Mezzotinta
59,Crayón
60,Bordado/seda
