id,Lugar,latitud,longitud,lugar/ubicación,pais,Anotación
1323,Iglesia Señor del Barrio ,19.80208409,-99.09902123,Zumpango,México,
76,Iglesia san Sebastián ,18.33357408,-97.24489364,Zinacatepec (Puebla),México,
193,Museo virreinal de Zinacantepec ,19.28348238,-99.73483078,San Miguel Zinacantepec,México,Convento Franciscano de San Miguel
1049,Iglesia san Lorenzo Diácono y Mártir ,16.86692522,-96.78425666,Zimatlán de Álvarez,México,
598,Basílica y museo Nuestra señora de Zapopan ,20.72150711,-103.3921125,Zapopan,México,
16,Iglesia san Pedro Apóstol ,20.7219393,-103.3908319,Zapopan,México,
129,Catedral Inmaculada Concepción ,19.9837282,-102.2853179,Zamora,México,
128,Iglesia del Calvario ,19.99006486,-102.2821525,Zamora,México,
299,Iglesia san José ,19.98529428,-102.2811793,Zamora,México,
320,Iglesia san Pedro ,19.9319669,-97.9612805,Zacatlán,México,
856,Iglesia santa Inés  ,19.2152822,-98.239443,Zacatelco,México,Caracas
279,Iglesia del sagrario - Ex convento santo Domingo ,22.776298,-102.5730883,Zacatecas,México,
546,Iglesia santo Domingo ,22.7764069,-102.5733181,Zacatecas,México,
469,Museo Regional de Guadalupe ,22.74704987,-102.5178426,Zacatecas,México,
110,Santuario de Nuestra Señora de Guadalupe ,22.76626174,-102.5794256,Zacatecas,México,
873,Universidad Autónoma de Zacatecas ,22.773354,-102.57518,Zacatecas,México,
1486,Museo exconvento agustino de san Pablo ,20.21382094,-101.1315096,Yuriria,México,
1023,Iglesia Santiago Apóstol ,-13.31755208,-72.08852514,Yucay,Perú,
879,Iglesia san Simón ,18.79449091,-97.6619111,Yehualtepec,México,
143,Convento san Juan Bautista ,18.88460467,-98.8651584,Yecapixtla,México,
1099,Iglesia san Francisco de Asís ,-22.12955509,-65.463288,Yavi,Argentina,
757,Iglesia san Esteban Mártir ,-13.66574898,-71.92038682,Yaurisque,Perú,
618,Iglesia santa Ana ,-14.7931895,-71.41317129,Yauri,Perú,
842,Iglesia san Dionisio  ,19.40649103,-98.1820347,Yauhquemehcan,México,
164,Iglesia santa María Atlihuetzía ,19.37292666,-98.17699582,Yauhquemehcan,México,
308,Iglesia santa Úrsula Zimatepec ,19.42196848,-98.16581342,Yauhquemehcan,México,
594,Iglesia conventual santo Domingo ,17.5270303,-97.3432043,Yanhuitlan,México,
1489,Iglesia san Juan Bautista,-16.3875768,-71.5421461,Yanahuara,Perú,
740,Iglesia santa Isabel de Xiloxoxtla ,19.26787285,-98.21434747,Santa Isabel de Xiloxoxtla,México,
156,Catedral Inmaculada Concepción ,19.5277135,-96.9230093,Xalapa,México,
932,American Antiquarian Society,42.27843897,-71.8101318,Worcester,Estados Unidos,
75,Worcester Art Museum ,42.2731,-71.802,Worcester,Estados Unidos,
1082,Galería Mario Hamilton ,38.5249065,-121.9708017,Winters ,Estados Unidos,
1532,Museum of Early Southern Decorative Arts ,36.08397236,-80.24161857,Winston-Salem,Estados Unidos,
2136,Museum of Early Southern Decorative Arts - MESDA,36.0838033,-80.2416132,Winston-Salem,Estados Unidos,
1774,Reynolda House Museum of American Art ,36.1257509,-80.2826873,Winston-Salem,Estados Unidos,
2074,Abby Aldrich Rockefeller Folk Art Center Art Museum,37.2684892,-76.7047413,Williamsburg,Estados Unidos,
2173,Muscarelle Museum of Art ,37.267952,-76.71592,Williamsburg,Estados Unidos,
1724,The Colonial Williamsburg Foundation ,37.272001,-76.70619565,Williamsburg,Estados Unidos,
867,Davis Museum - Wellesley College,42.29393369,-71.30738801,Wellesley College,Estados Unidos,
2111,Architect of the Capitol ,38.8867237,-77.0085731,Washington,Estados Unidos,
1753,Colección BID ,38.89011119,-77.03566468,Washington,Estados Unidos,
2138,Corcoran Gallery of Art ,38.8959385,-77.0396757,Washington,Estados Unidos,
2090,Indian Gallery in the War Department ,38.89011119,-77.03566468,Washington,Estados Unidos,Existió a mediados del siglo XIX
723,Library of Congress ,38.888684,-77.004719,Washington,Estados Unidos,
1534,Casa Blanca ,38.89775143,-77.03655662,Washington,Estados Unidos,
1710,National Gallery of Art ,38.891298,-77.019965,Washington,Estados Unidos,
1733,National Museum of Women in the Arts ,38.9002293,-77.028977,Washington,Estados Unidos,
1718,National Portrait Gallery ,38.8978268,-77.0230188,Washington,Estados Unidos,
1741,Smithsonian American Art Museum ,38.8982044,-77.0229925,Washington,Estados Unidos,
2180,The Society of Cincinnati ,38.910707,-77.0477501,Washington,Estados Unidos,
466,Iglesia san José Vizarrón ,20.8323617,-99.71983825,Vizarrón de Montes,México,
1654,Igreja Matriz de Nossa Senhora da Penha ,-21.05359498,-44.0892135,Vitoriano Veloso,Brasil,
2181,Colección familia Tayloe,37.972222,-76.791389,Estados Unidos (sin ubicación),Estados Unidos,
483,Iglesia san Martín ,-15.76641812,-70.25804304,Vilque,Perú,
1904,Alcaldía Villa de Leyva,5.633892,-73.522849,Villa de Leyva,Colombia,
713,Convento San Agustín,5.6346173,-73.5210699,Villa de Leyva,Colombia,
1849,Iglesia Nuestra señora del Rosario ,5.6333683,-73.5231471,Villa de Leyva,Colombia,
21,Museo del Carmen,5.6351994,-73.523466,Villa de Leyva,Colombia,
1166,Convento Nossa Senhora da Penha,-20.32911076,-40.28703682,Vila Velha,Brasil,
2154,Kunsthistorisches Museum,48.2038016,16.3617874,Viena,Austria,
813,Museum für Völkerkunde - Museo Etnográfico,48.20497,16.3637613,Viena,Austria,
158,Iglesia conventual Nuestra Señora del Carmen ,19.1387169,-96.1125344,Veracruz,México,
1050,Patrimonio de Venezuela ,10.48974971,-66.88532084,Venezuela (sin ubicación),Venezuela,
987,Museum of Fine Arts ,35.8966757,14.51143076,La Valeta,Malta,
176,Casa de oración y centro espiritualidad Carmelita Maranathá ,19.2256603,-100.126088,Valle de Bravo,México,
501,Convento franciscano san Bernardino de Siena ,20.68626057,-88.20982591,Valladolid,España,
520,Museo Colegiata de San Luis - Villagarcía de Campos,41.77922958,-5.19110075,Valladolid,España,
604,Museo Nacional de Escultura ,41.6571579,-4.7237065,Valladolid,España,
810,Museo del Patriarca ,39.47299309,-0.3731325729,Valencia,España,
1287,Iglesia san Blas ,10.1840804,-67.99152052,Valencia,España,
2161,Munson-Williams-Proctor Arts Institute ,43.0975578,-75.2401686,Utica (NY),Estados Unidos,
1075,Iglesia san Pedro Apóstol ,-13.30499816,-72.11592071,Urubamba,Perú,
33,Iglesia María Reina de los Ángeles ,-13.33715647,-72.04769617,Urquillos,Perú,
553,Recolección de Urquillos ,-13.33712515,-72.0477069,Urquillos,Perú,
1569,Iglesia Santiago Apóstol ,-13.6882389,-71.62595088,Urcos,Perú,
514,Iglesia san Francisco de Paula ,-23.30058194,-65.35549,Uquía,Argentina,
1884,Basílica del Santo Cristo ,5.307331648,-73.81455097,Ubaté,Colombia,
1012,Iglesia de la Soledad ,19.6267581,-101.5789837,Tzintzuntzan,México,
31,Catedral san Marcos ,16.753114,-93.1155092,Tuxtla Gutiérrez,México,
109,Museo Regional de Chiapas ,16.76116936,-93.10630891,Tuxtla Gutiérrez,México,
