id,name,ancestry
21,Alegorías órdenes y vida religiosa,1/1002
27,Naves,1/1002
28,Triunfos,1/1002
389,Iglesia y vida cristiana,1/1002
15,Alegorías Cristo adulto,1/1003
16,Alegorías Cristo niño,1/1003
23,Sibilas,1/1003
26,Zodiaco,1/1003
910,Alegorías Eucarísticas,1/1003
12,Alegorías de la Virgen,1/1004
13,Alegorías de la Virgen inmaculada,1/1004
20,Letanías,1/1004
24,Triunfos de la Virgen,1/1004
987,Alegorías sagrada familia,1/1004
993,Alegorías coronación,1/1004
14,Alegorías bíblicas,1
17,Alegorías al corazón,1
18,Emblemas,1
387,Alegorías académicas y seculares,1
1002,Alegorías a la Iglesia y la vida cristiana,1
1003,Alegorías cristológicas,1
1004,Alegorías marianas,1
32,Primer coro angélico,2
33,Segundo coro angélico,2
35,Tercer coro angélico,2
430,Conjunto de ángeles y alegóricos,2
36,Ciclo Libros históricos,3
37,Ciclo Pentateuco,3
38,Ciclo Profetas,3
39,Escenas bíblicas varias,3
50,Ciclo libros sapienciales,3
52,Imágenes devocionales,4
53,Ciclo Pasión,4
54,Ciclo Vida Pública,4
56,Postrimerías,5
57,Sacramentos,5
58,Trinidad,5
461,"Credo, mandamientos y alabado",5
466,Escatología y series,5
59,Santas,6
381,Santos Masculinos,6
791,Venerables y beatos,6
63,Historia de la conquista,7
64,Historia de los indígenas,7
65,Historia universal,7
66,Historia eclesiástica,7
68,Retrato de familias,8
69,Retrato masculino,8
71,Retrato femenino,8
72,Retrato de niños,8
60,Advocaciones,9
61,Vida de la Virgen,9
62,Relatos vida virgen conjunto,9
74,Biombos,10
75,Barcos,10
76,Cacería y animales,10
77,Castas,10
78,Clásicos y mitológicos,10
79,Escenas cotidiana,10
80,Escudos,10
81,Naturaleza muerta,10
82,Paisaje,10
83,Vistas urbanas,10
467,Defensas de tesis,10
468,Dibujos y cuerpo,10
938,Pintura en objetos,10
25,Alegoría a las virtudes,11
29,Mística y devociones,11
30,Moral pecado y redención,11
181,Monja Agreda,11/29
913,Estados del alma,11/30
914,Pecado y pecador,11/30
915,Redención,11/30
155,Lagar,1/1003/15
309,Alegoría nacimiento inmaculado nueva Eva,1/1004/13
19,"Estaciones, continentes y países",1/387
22,Alegorías no religiosas,1/387
388,Alegorías imperiales y políticas,1/387
1005,Ciencias y artes liberales,1/387
1006,"Universidad, santos Tomás y Agustín",1/387
959,Biombos alegóricos y simbólicos,10/74
960,Biombos cotidianos y urbanos,10/74
961,Biombos históricos y mitológicos,10/74
481,04 Chamilo - Castizo mestiza,10/77
483,01 Mestizo - español india,10/77
484,06 zambo - negro mulata,10/77
485,02 castiza - mestiza español,10/77
486,03 español - castizo español,10/77
487,07 cuarteron mulato tornatras - mulato mestiza,10/77
488,15 cuarteron chino -español china,10/77
489,05 mulato - español negra,10/77
