id,description,,
451,Abanico,,
7,Accidente / calamidad,,
362,Acólito,,
1,África,,
18,Aguja / alfiler ,,
2,Agustínos,,
668,Alacena,,
3,Alegoría,,
588,Algodón,,
5,Amamantar,,
6,América,,
534,Ánfora,,
10,Ángeles / querubines,,
512,Anteojos,,
490,Antorcha,,
8,Aparición,,
291,Apóstoles ,,
383,Apoteosis,,
25,Arco o marco de flores,,
756,Ardilla,,
66,Armadillo,,
11,Armadura / yelmo,,
786,Armas,,
736,Arpón,,
608,Artesano,,
273,Asesinato,,
12,Asia,,
660,Astrolabio,,
71,Astrología / zodiaco ,,
88,Atril,,
571,Azotamiento,,
275,Balcón,,
281,Bandera,,
307,Baño,,
704,Barril,,
655,Bastón de mando,,
314,Baúl,,
342,Bebé,,
144,Bendición,,
145,Biblia,,
15,Biblioteca,,
525,Birrete,,
720,Bodegón,,
775,Bonete,,
156,Bordado,,
705,Botella,,
161,Brocados (flores o dorados) ,,
395,Caballete,,
186,Caída,,
220,Caldero / olla ,,
589,Calvario,,
225,Cama,,
143,Camello,,
536,Camino ,,
728,Campana,,
168,Campesino,,
577,Campo,,
780,Candelabro,,
234,Cañón,,
20,Carmelita,,
694,Carne,,
200,Carruaje / carreta,,
244,Cartas,,
327,Casa,,
22,Castillo,,
255,Casulla,,
258,Catalejo,,
427,Cautivo(s),,
411,Caza,,
385,Cédula de Profesión,,
160,Celebración,,
481,Celosía,,
353,Cementerio,,
268,Cepillo,,
716,Cereza,,
648,Chimenea,,
283,Ciervo ,,
285,Cíngulo,,
138,Cocina,,
399,Cofradía,,
290,Cofres,,
750,Cojín,,
652,Colina / montaña ,,
402,Comercio,,
622,Cometa,,
4,Comida,,
661,Compás,,
452,Comunión,,
410,Confesión,,
28,Conmemoración,,
29,Conquista española,,
299,Consuelo,,
177,Contemplación,,
246,Convento,,
30,Conversión,,
167,Coro,,
303,Corona de laurel,,
132,Coronación,,
300,Corte,,
533,Cortejo fúnebre,,
35,Cortinaje,,
305,Costa,,
559,Costumbres,,
137,Cotidianidad,,
37,Cuatro continentes,,
707,Cubiertos,,
726,Cuchillo / daga  ,,
735,Cuerda / soga  (atadura),,
318,Cuerno,,
166,Cultivo / huerto,,
767,Cuna,,
563,Curación,,
585,Danza,,
148,Desconsuelo,,
217,Desierto,,
164,Desnudo,,
532,Despedida,,
745,Discapacitado,,
