id,artwork_id,description_id
207,2,82
87260,2,82
21240,3,58
21242,3,92
21246,3,10
21249,3,225
21251,3,342
127039,3,225
22841,4,35
22842,4,47
132056,4,289
73940,5,291
73943,6,291
50970,7,245
50971,7,245
50974,7,60
50975,7,100
136787,7,100
131334,7,447
132057,7,289
55502,8,10
50978,9,60
50979,9,245
50980,9,245
50984,9,60
131335,9,447
132058,9,289
85423,10,429
142415,10,429
71376,10,429
142828,10,429
50990,11,245
50991,11,245
50995,11,60
50996,11,100
128296,11,285
136788,11,100
131336,11,447
132059,11,289
144162,11,163
128297,13,285
55505,14,10
129318,14,726
61886,16,735
112976,16,735
129720,16,735
129721,16,735
51001,19,10
51002,19,10
51003,19,35
51004,19,245
51005,19,245
51009,19,60
131657,19,450
132060,19,289
144163,19,163
23455,20,291
23458,20,163
37571,21,10
37572,21,47
37573,21,102
37575,21,163
130926,21,42
133552,21,441
112977,22,735
129722,22,735
55509,23,10
60600,24,10
60601,24,10
60602,24,20
60610,24,245
60611,24,245
60616,24,99
60617,24,100
60618,24,10
60619,24,10
136789,24,100
131710,24,678
132061,24,289
89258,24,429
142829,24,429
144164,24,163
144165,24,163
144166,24,163
146533,24,242
81831,26,10
46640,28,10
92680,29,346
92681,29,473
128005,29,255
77321,29,429
142830,29,429
92685,30,364
139960,30,364
40614,31,84
115330,31,15
61246,32,735
61249,32,157
129723,32,735
129724,32,735
45490,33,669
127040,33,225
138721,33,669
80743,34,157
124426,34,490
127837,34,11
129725,34,735
144167,34,163
62751,35,291
62752,35,225
62753,35,35
62754,35,121
69991,36,291
69992,36,10
129051,36,303
36356,37,10
36358,37,536
36360,37,150
36361,37,100
127311,37,536
127810,37,100
144168,37,163
144169,37,163
146534,37,242
89219,38,10
89220,38,10
83639,39,534
66095,40,10
66096,40,735
129319,40,726
129726,40,735
130368,40,43
131276,40,412
51013,41,245
51014,41,245
51018,41,60
131337,41,447
131658,41,450
132062,41,289
144170,41,163
3781,42,11
3782,42,100
3784,42,150
134258,42,576
5178,42,429
142831,42,429
61891,43,735
129727,43,735
139,44,58
30147,45,10
30148,45,99
30149,45,101
58015,46,20
58019,46,245
58020,46,245
58024,46,99
58025,46,100
136790,46,100
132063,46,289
139961,46,364
58028,47,10
58029,47,10
58030,47,20
58034,47,245
58035,47,245
58039,47,99
58040,47,100
58041,47,10
58042,47,10
136791,47,100
131711,47,678
132064,47,289
144171,47,163
146535,47,242
58046,48,10
58047,48,10
58048,48,291
58049,48,20
58053,48,245
58054,48,245
58058,48,99
132065,48,289
144172,48,163
144173,48,163
146536,48,242
58063,49,10
58064,49,10
58065,49,20
58073,49,245
58074,49,245
58078,49,99
58079,49,100
58080,49,10
58081,49,10
136792,49,100
132066,49,289
144174,49,163
144175,49,163
144176,49,163
146537,49,242
58085,50,10
58086,50,10
58087,50,342
