id,name,text,Fecha muerte,Fecha beatificación / canonización,source,,
1,Monjas coronadas muertas,"El acontecimiento crucial de la vida monástica era la profesión o el momento de la unión eterna con Cristo, y la muerte, la unión definitiva. El retrato de monjas coronadas inmortalizaba este momento. Las coronadas muertas, llevaban una palma, símbolo de su vida mortificada y flores relacionadas con sus principales virtudes. Estas pinturas se hacían prefentemente de aquellas mujeres que se consideraban vidas ejemplares.",,,,,
6,Martirio de san Juan,"Leyenda medieval que cuenta que el emperador Domiciano, mandó prenderlo en Efeso y cargado de cadenas fue conducido a Roma. Allí  le mandó a echar en una tina de aceita hirviendo en presencia del senado y de numeroso pueblo, de donde salió salvo. Se le representa semidesnudo en el caldero, con verdugos atizando el fuego.",,,Arte y Fe;,,
7,"Abdías, profeta","Profeta menor del antiguo testamento, También llamado Obodyá, Obadyá u Obadías que significa ""siervo de Dios"". Le se adjudica el más breve de los libros proféticos del Antiguo Testamento: “El Libro de Abdías”, cuyo tema principal es la humillación del orgullo de Edom, reino vecino de Judá y la vida de los fugitivos israelitas tras perder Jerusalén. Cuenta con poca precisión cronológica, considerando su posible ubicación durante el reinado de Joram de Judá en el siglo IX a. C, antes de la caída de Edom cercano a 607 a.C. o posterior la conquista de Jerusalén por Nabucodonosor II en 586 a.C ",,,"Biografias y Vida.  Schwantes, M. Sobrevivencias: Introducción a Abdías, Revista De Interpretación Bíblica Latinoamericana, Nº 35-36 pág. 169-175",,
9,"Martín de Tours, san","Oriundo de Sabaria en la Panonia (actual Hungría). Sirvió en el ejército de Constancio, y después en el de Juliano el Apóstata. Una vez convertido al cristianismo, fue escogido obispo de la diócesis de Tours. Edificó un monasterio, donde vivió algún tiempo. La leyenda cuenta sius múltiples milagros especialmente sobre la salud.",397,,"Flos Rivadeneira, III 403",,
10,"Jorge, san","La leyenda cuenta que era natural de Capadocia, vinculado a la milicia en tiempos de Dioclaciano. Defendió a los cristianos de las iniciativas del emperador, afirmando su fe frente a su consejo. Sobreviviendo a las torturas por orden del emperador, fue finalmenmte degollado. Por su carácter militar, es históricamente invocado como santo que ayuda frente a los enemigos. ",303,,,,
11,Adoración de Eucaristía,"Se basa en la adoración al santísimo sacramento de la transustanciación del pan y vino sacramental en el cuerpo y la sangre de Cristo, la cual es considerada la fuente y culmen de la vida de todo cristiano. En la pintura colonial la adoración de la eucaristía hace parte del segundo modelo narrativo dogmático, con una estructura más o menos establecida: en el centro de la pintura aparece la custodia rodeada de ángeles, la trinidad, los santos y otros personajes políticos y religiosos importantes, a menudo representando también escenarios como los celestes o altares.",,,https://losingeniosdelpincel.uniandes.edu.co/los-sacramentos-credos-y-alabados/,,
16,Ángel de la guarda,"La devoción al santo ángel de la guarda o Ángel Custodio surgió en el siglo XVI, en la época de la Contrarreforma. Sólo fue proclamada oficialmente por el Papa Clemente X en el siglo XVII. Según fue planteado por la iglesia, todos cuentan con la ayuda de un ángel particular; el cual tiene la misión de cuidar, vigilar y defender. Igualmente, el ángel fue considerado como tutor y guía que se le otorga a un niño, para formar sus costumbres y alumbrar su entendimiento.",,,,,
17,"Agatón, san","Papa N° 79 de la Iglesia Catolica, nació en Palermo, Sicilia a finales del siglo VI. El nombre Agatón viene del griego agaqoV (agazós), que significa ""bueno"". Vivió en el Monasterio benedictino de San Hermes hasta 678, cuando fue consagrado Papa. Su pontificado fue corto debido a su avanzada edad, sin embargo, se destaca por la realización del  Concilio Ecuménico de Constantinopla en 681. En este junto al emperador bizantino Constantino IV condenó las doctrinas del monotelismo y el monoenergismo. Es reconocido como taumaturgo o “hacedor de maravillas” y venerado como santo tanto por la Iglesia Católica como por la ortodoxa. ",681,,https://www.ecured.cu/Agat%C3%B3n,,
18,Agnus Dei,"Expresión en latín y significa “Cordero de Dios” siendo uno de los títulos para Jesús, dicho por Juan el Bautista (Evangelio de Juan 1, 29), simboliza la obediencia completa a Dios, así como el martirio y muerte de Cristo. Iconográficamente durante el periodo paleocristiano el cordero se representó con una aureola. En los siglos posteriores aparece degollado o alanceado, generalmente de pie y portando la cruz como símbolo de la victoria sobre la muerte y el pecado. Con cierta frecuencia se consolidará su imagen apocalíptica, incorporando los siete ojos y cuernos que narra el Apocalipsis. Es frecuente verlo también sobre el Libro de los Siete Sellos, encaramado al monte Sión, o sobre una fuente de la que parten los cuatro ríos del paraíso.",,,"Carvajal H. El Agnus Dei, Revista Digital de Iconografía Medieval, vol. II, nº 4, 2010, pp. 1-7.",,
19,"Águeda, santa","Mártir siciliana del siglo III. Rechazó las proposiciones de Quintianus procónsul de Sicilia ya que había ofrecido su virginidad a Jesús. Debido a esto, ordenó tortúrala cortándole los senos y aprovechando las persecuciones a los cristianos del Emperador Decio. Águeda aseguró que durante una visión San Pedro curó sus heridas. Finalmente fue asesinada y posteriormente arrastrada por las calles de Catania. Se le atribuye el milagro de salvar la ciudad durante la erupción del volcán Etna en el 252. Se representa en el martirio, colgada cabeza abajo, con el verdugo armado de tenazas y retorciendo su seno.  También sosteniendo ella misma una palma, unas tenazas en la mano o portando una bandeja con sus senos cortados.",261,,https://www.vaticannews.va/es/santos/02/05/s--agata--virgen-y-martir-de-catania.html,,
20,Aflicción y Duda/José y María,"Tema apócrifo, sin fundamento bíblico. Supone el momento en que después de la revelación del ángel a san José en un sueño, teme por su destino. Iconográficamente se presente en el mismo momento de la anunciación a la Virgen, quien siente aflicción ante el anuncio. ",,,,,
21,Alabado,"Las series del alabado eran conjuntos de pinturas que trataban el tradicional saludo ibérico “Bendito y alabado sea el santísimo sacramento del altar y la inmaculada concepción de la Virgen María, concebida sin mancha de pecado original”, que se resumía en una secuencia de pinturas donde cada una contenía unas sílabas o palabra. Los lienzos se presentan como la narración pintada de un sermón que ofrecía las pruebas de la redención del pecado original hecha a la Virgen María en el momento de su concepción, realizada por su hijo Jesucristo al vencer en la cruz al basilisco infernal como portador del pecado original.",,,https://losingeniosdelpincel.uniandes.edu.co/los-sacramentos-credos-y-alabados/ ,,
22,"Alberto Magno, san","Lauingen, Baviera, 1193/1206-Colonia, 15 de noviembre de 1280. Fue un sacerdote, obispo, doctor de la Iglesia así como un polímata medieval, destacándose como filósofo, teólogo, geógrafo y químico. Fue rector de la Universidad de Colonia (1249) donde tuvo como discípulo a Tomás de Aquino. Entre sus obras sistematizó e interpretó las obras de Aristóteles extraídas de las traducciones y notas latinas de los comentaristas árabes, creyendo que el enfoque de Aristóteles no representaba obstáculo para el desarrollo de una visión filosófica cristiana del orden natural. Pío XI lo declaró doctor de la Iglesia y patrono de los que cultivan las ciencias naturales.",1280,1622 - 1931,https://www.dominicos.org/quienes-somos/grandes-figuras/santos/san-alberto-magno/,,
23,Alegoría a las virtudes,La alegoría pretendía trasmitir verdades que se encuentraban detrás de las apariencias para formar moralmente al sujeto y el cuerpo social a través de la meditación. Por esta razón personificar las virtudes es ofrecer herramientas para la reflexión individual.,,,,,
24,Alegorías a la Iglesia y vida cristiana,"Este tipo de alegorías parten del principio de que la Iglesia es una comunidad de creyentes que funciona como un cuerpo, cuya cabeza es Cristo. Así se acuña el principio del cuerpo místico. Este tipo de alegorías pretende proponer elementos para la meditación de la recta doctrina y las virtudes de los cristianos.",,,,,
26,Alegorías bíblicas,"La tradición medieval acostumbraba hacer una lectura alegórica de la Biblia. Particularmente el Antiguo Testamento se observaba como el preanuncio del Nuevo Testamento, es decir los hechos de la vida de Jesús y la formación del cristianismo ya estaba anunciado. El barroco explotó alegóricamente estas imágenes, las cuales constituyen objetos de meditación sobre la predestinación.",,,,,
27,Alegorías Cristo adulto,"Estas pinturas exploraron un mundo amplio de alegorías con las cuales buscaban comunicar un pensamiento complejo alrededor de los misterios más sobresalientes de la vida de Cristo. Las alegorías alrededor del Cristo muerto, resucitado y simbolizado en el entorno eucarístico, constituye el eje de fe del cristianismo, tendrían la primacía visual.",,,https://losingeniosdelpincel.uniandes.edu.co/alegorias-al-corazon-cristologicas-y-sacramentales/,,
28,Alegorías Cristo niño,"Las alegorías del Niño Jesús recogían el tema de la futura pasión, lo cual se llevaba a través de explorar el tema de la predestinación, uno de los elementos teológicos más recurrentes del Barroco. Esta exploración, servía como preámbulo para evidenciar el tema de la eucaristía.",,,,,
29,Alegorías de la Virgen y la inmaculada,"La pintura alegórica de la Virgen buscaba destacaban el papel protagónico de su vida en la experiencia de fe de los creyentes. Estas metáforas pretendían generar una meditación profunda mediante las imágenes. Una de las muestras fuerte de esta devoción fue la cantidad de imágenes que se produjeron alrededor de la Inmaculada, lo cual tenía fuerte condición política. Junto a este tema, se destacan los carros triunfales y el speculum sine macula.",,,,,
30,Alegorías Eucarísticas y el lagar,"Estos temas buscaban ofrecer lo eucarístico como centro de meditación, para lo cual se pone en funcionamiento la maquinaria alegórica para mostrar su sentido. Los lagares eucarísticos pretenden mostrar la eucaristía como Fuente de vida, los cuales obedecían a un modelo singular. Este tipo de pinturas trabaja la idea medieval del Cristo como fuente de sangre de vida.",,,https://losingeniosdelpincel.uniandes.edu.co/alegorias-al-corazon-cristologicas-y-sacramentales/,,
31,Alegorías imperiales y políticas,Las alegorías políticas e institucionales son resultado de la vinculación de elementos simbólicos del individualismo y la secularización. El objetivo de este tipo de imágenes es contribuir a la idea barroca de mostrar la “política como virtud” y el poder como algo “heroico”.,,,https://losingeniosdelpincel.uniandes.edu.co/las-alegorias-de-instituciones-politicas-academicas-y-seculares/,,
32,Alegorías no religiosas,"Para el mundo barroco, el mundo se cifra en metáforas, alegorías y emblemas que tratan de develar la realidad de fe que se oculta detrás de la vida cotidiana. Por esta razón, es importante aquella pintura que retrata las instituciones y el cuerpo social.",,,https://losingeniosdelpincel.uniandes.edu.co/las-alegorias-de-instituciones-politicas-academicas-y-seculares/,,
33,Alegorías órdenes y vida religiosa,La alegoría buscaba trasmitir verdades que se encuentran detrás de las apariencias para formar moralmente al sujeto a través de la meditación. Este tipo de alegorías pretendía mostrar los carismas determinantes de las órdenes religiosas y aportar elementos de su espiritualidad para el cultivo de las virtudes. ,,,,,
34,"Caída, la","La caída, narrada en Génesis 3, ha sido representada desde el cristianismo primitivo, cargada de muchos simbolismos. Fundamentalmente es el hecho que justifica la redención de Cristo, pues rompe con la condena del pecado original.",,,Génesis cap. 3,,
