id,Info_categorias,Autores,Simbolos,Descriptores,Gesto Lista,Categoria 1,Categoria 2,Categoria 3,Categoria 4,Categoria 5,Ciudad Origen,Ciudad Actual,Pais Origen,Pais Actual,Ubicacion,Relato_visual_lista,Fuente Imagen,Tecnica,Donante,Escenario,Cartela Filacteria,Fuente Iconografica,Biografia,Tipo Historia,Categoria 6
1,Monjas coronadas muertas,A Nava,Agnus Dei,África,0 Desconocido,Alegorías y Emblemas,Alegorías y Emblemas,Alegorías y Emblemas,Alegorías y Emblemas,Alegorías y Emblemas,Bogotá,Bogotá,Bolivia,Bolivia,Convento dominico Santa Inés (Bogotá),Alegoria/moral,https://i.pinimg.com/originals/ee/ba/19/eeba19f44d44df27d930cc0741dd1d8a.jpg,,,Sin definir,,,,,Alegorías y Emblemas
2,Abigail,A. Ellis,Agua,Agustínos,0 Múltiples gestos,Ángeles,Ángeles,Ángeles,Ángeles,Ángeles,Turmequé,Turmequé,Japón,Japón,Capilla del Corazón de María (Puebla),Devoción,Silvia Bogui. Museo Colonial Charcas.,Acuarela,,,,,,,Ángeles
3,Achab,A. Haddock,Águila,Alegoría,Suplico ora: implorar,Antiguo Testamento,Antiguo Testamento,Antiguo Testamento,Antiguo Testamento,Antiguo Testamento,Monguí,Monguí,Brasil,Brasil,Iglesia san Francisco de Asís (San Cristóbal de las Casas),Historia,"KATZEW, Ilona, et al. Trastoques y elipsis en un retrato de tornaviaje: la ductilidad de los mensajes. 2020.",Biombo Óleo Tela,,Terrestre otro,,,,,Antiguo Testamento
4,Adán y Eva,A. Pérez,Alas,Comida,Oro: pedir misericordia,Cristológico,Cristológico,Cristológico,Cristológico,Cristológico,Tunja,Tunja,Rusia,Rusia,Iglesia conventual san Francisco (Queretaro),Milagros,"MAZA, Francisco de la, et al. Cuarenta siglos de arte Mexicano. México: Herrero, 1981.",Ceras,,Celeste,,,,,Cristológico
5,Adonis,Tomás Mondragón,Alba,Amamantar,Ploro: condolerse,Dogma,Dogma,Dogma,Dogma,Dogma,Popayán,Popayán,Guatemala,Guatemala,Museo Soumaya (CdMx),Paisaje,"Lorenzo García et Al. El monasterio del Carmen de la Asunción de Cuenca. Quito Banco Central del Ecuador, 1986.",Grabado en hojalata,,,,,,,Dogma
6,Martirio de san Juan,A.M. Randall,Alma,América,"Dos manos arriba: admira, halaga",Santos,Santos,Santos,Santos,Santos,Duitama,Duitama,Inglaterra,Inglaterra,"Museo Casa de Montejo (Mérida, Yucatán)",Retrato,"MAQUIVAR, María Consuelo. Ángeles y arcángeles. México: Mexial Banpais, 1993.",Grabado en seda,Sin donante,,,,,,Santos
7,"Abdías, profeta",Aaron Haugthon Corwine,Altar,Accidente / calamidad,"Aplaudir: aprobar, disfrutar",Historia,Historia,Historia,Historia,Historia,Sutamerchán,Sutamerchán,Haití,Haití,Iglesia La Compañía de Jesús (Cuzco),Vida,"Kennedy Troya, Alezandra; Ortiz Crespo, Alfonso. Recoleta de San Diego de Quito. Historia y restauración. Quito: Banco central del ecuador, 1982",Grabado iluminado,Indígenas,,,,,,Historia
8,Monjas coronadas vivas,Abraham Mignon,Anagrama,Aparición,"Mano golpea palma: error, ira, indigna",Retrato,Retrato,Retrato,Retrato,Retrato,Villa de Leyva,Villa de Leyva,Hungría,Hungría,Iglesia y convento san Nicolás de Bari (Oxtotipac),Visión,"Ximena Carcelén ed. Y curaduría. Vivir para morir una Mirada a través del arte. Museo de arte colonial, quito, 2014.",Óleo aguafuerte,Español@s y crioll@s,Celeste / terrestre,,,,,Retrato
9,"Martín de Tours, san",Abraham Tuthill,Ancla,,Puño pega palma: lenguaje de burla,Mariología,Mariología,Mariología,Mariología,Mariología,Sopó,Sopó,Honduras,Honduras,Convento franciscano san Luis Obispo de Tolosa (Tlalmanalco),Urbano,"José Gabriel Navarro, Contribuciones a la historia del arte en el ecuador. Quito: editorial Trama y Fonsal, 2007.",Óleo alabastro,Monjas y/o clérigos,,,,,,Mariología
10,"Jorge, san",Adam Buck,Aureola con estrellas,Ángeles / querubines,"Brazo abatidos: desesperación, sin valor",Temas seculares,Temas seculares,Temas seculares,Temas seculares,Temas seculares,Tabio,Tabio,Puerto Rico,Puerto Rico,"Catedral san Ildefonso (Mérida, Mx)",,Fotografía Agisdo do Nascimiento Rodrigues,Óleo madera techo,Donante posiblemente presente,,,,,,Temas seculares
11,Adoración de Eucaristía,Adolf Ulric Wertmüller,Anillo ,Armadura / yelmo,"Mano sobre otra: pereza, sueño",Mística y Moral,Mística y Moral,Mística y Moral,Mística y Moral,Mística y Moral,Subachoque,Subachoque,Portugal,Portugal,Catedral y convento San Bernardino de Siena (CdMx),,"José María Vargas El arte ecuatoriano en el siglo XIX. Quito Banco central del ecuador, 1984.",Óleo mármol,Donante por el nombre,Celeste / escatológico,,,,,Mística y Moral
12,Afrodita,Agostino Brunias,Animales,Asia,"Dedos entrelazados: débil, melancólico",Alegorías de la Virgen,Alegorías de la Virgen,Alegorías de la Virgen,Alegorías de la Virgen,Alegorías de la Virgen,Tenjo,Tenjo,Paraguay,Paraguay,Iglesia y convento san Jerónimo (Puebla),,"TORD, Luis Enrique. Arequipa artística y monumental. Lima: Banco del Sur del Perú, 1987.",Óleo sobre cuero,,Escenario simbólico,,,,,Alegorías de la Virgen
13,"Agustín, san", Aguilar,,,Puño lavado mano: probar inocencia,Alegorías de la Virgen inmaculada,Alegorías de la Virgen inmaculada,Alegorías de la Virgen inmaculada,Alegorías de la Virgen inmaculada,Alegorías de la Virgen inmaculada,Buga,Buga,Panamá,Panamá,Iglesia y convento san Jerónimo (Tlacochahuaya),,"DONAHUE-WALLACE, Kelly. Art And Architecture of Viceregal Latín América, 1521-1821. Alburquerque: University of New Mexico Press, 2008.",Óleo / acuarela sobre hueso,,,,,,,Alegorías de la Virgen inmaculada
14,África (alegoría),Agustín Del Pino,Árbol ,,"Frotar palmas: codicia, engaño",Alegorías bíblicas,Alegorías bíblicas,Alegorías bíblicas,Alegorías bíblicas,Alegorías bíblicas,Tibasosa,Tibasosa,Perú,Perú,Iglesia Nuestra Señora de las Nieves (Ciudad Oaxaca),,https://www.urosario.edu.co/Museo/Coleccion/,Óleo sobre madera,,,,,,,Alegorías bíblicas
15,"Alberto de Sicilia, san",Agustín García Zorro de Useche,Mandorla,Biblioteca,Manos paralelas al frente: recibir,Alegorías Cristo adulto,Alegorías Cristo adulto,Alegorías Cristo adulto,Alegorías Cristo adulto,Alegorías Cristo adulto,Real de Catorce,Real de Catorce,Ecuador,Ecuador,Iglesia y convento santo Domingo (Oaxaca),,"Jacinto Jijon y Caamaño, Breves consideraciones sobre el arte quiteño. Quito, Pontifica universidad del ecuador, 1976",Óleo sobre papel,,Terrestre / interior casa-habitación,,,,,Alegorías Cristo adulto
