id,nombre
2,Abanico
3,Agua / Fuente
4,Alimento / pan
5,Ancla
6,Anillo
7,Animal otros
8,Anzuelo
9,Arado
10,Árbol
11,Arco
12,Ardilla
13,Báculo
14,Bandeja
15,Bandera
16,Barco
17,Báscula
18,Bolsa
19,Brújula
20,Bulto/estatua
21,Cabeza
22,Cadena
23,Caja pequeña
24,Calavera
25,Cáliz / objeto sagrado
28,Caña
26,Canasta
29,Cañon
27,Cántaro
30,Cartas Naipes
31,Cartel
32,Cetro
33,Cilicios
34,Cinta
35,Cirio/vela
36,Clavos
37,Collar
38,Columna
39,Compás
40,Concha
41,Copa
43,Corazón
44,Corona / cetro
45,Corona Espina/ flores/laurel
46,Cortina
47,Cruz
159,Cuchara
48,Cuchillo
49,Cuerda - lazo
50,Cuerno abundancia
51,Custodia
52,Desconocido
53,Disciplinas / Rejo
54,Documento
55,Escalera
56,Escapulario
156,Escoba
57,Escopeta /mosquete
58,Escuadra
59,Escudo
60,Esfera / bola
61,Espada / arma
62,Espejo
64,Espiga / heno
65,Espuelas
155,Estampa
66,Flecha
67,Flores
68,Frasco
69,Fruta
70,Gato
154,Grilletes
157,Guadaña
71,Guantes
72,Hacha
73,Hisopo
74,Hostia
75,Hoz
76,Huso/aguja
77,Iglesia
78,Incensario
79,Instrumento
80,Instrumento musical
81,Instrumentos Pasión
82,Jarrón
83,Jaula
84,Joya
85,Juguete / Juego
86,Lanza / Albarda
87,Látigo
88,Laurel
89,Lengua
90,Lentes - Catalejo
91,Letrero Cartela
92,Libro
93,Llama / fuego
94,Llave
95,Macana
96,Mapa
97,Martillo
98,Mazo
99,Mitra / Tiara
100,Moneda
101,Mundo / Esfera
102,Niño
1,No
103,Objetos diversos
104,Oveja
105,Pájaro
106,Pala
107,Palma martirio
158,Panel
109,Pañuelo
110,Perfumero
111,Períodico
112,Perro
113,Pez
114,Piedra
115,Pincel
116,Pintura / Imagen
118,Plato
119,Pluma escritura
120,Pompas jabón
121,Prensa
122,Rama
123,Rayo
124,Reloj
125,Rienda animal
126,Rollo autoridad
127,Ropa Eclesiastica - Ornamento
128,Ropa propia
129,Rosario
130,Rueda
131,Serpiente
132,Sierra
133,Silla
134,Sombrero / indumentaria
135,Sombrilla
136,Tabaco / pipa
137,Tablas ley
138,Tambor
139,Taza - Vajilla
140,Tejido - aguja
141,Tela / Sudario
142,Tenaza
143,Tetera
144,Tijera
145,Tipo imprenta
146,Torre
147,Trigo
148,Trompeta
149,Vara / bastón
150,Vara / Cayado
153,Zapatos
