id,artwork_id,engraving_id
48305,2,2
48306,2,8
48307,2,9
48308,2,11
48309,2,14
48310,2,15
48311,2,17
24606,3,2
24607,3,6
24608,3,8
24609,3,10
24610,3,11
24611,3,12
24612,3,14
24613,3,15
24614,3,17
78996,4,7
78997,4,8
78998,4,6
78999,4,15
79000,4,14
79001,4,2
79002,4,19
79003,4,12
81070,5,8
81071,5,9
81072,5,16
81073,5,4
81074,5,11
81075,5,3
81076,5,17
81077,6,8
81078,6,9
81079,6,15
81080,6,4
81081,6,10
81082,6,17
7781,7,3
7782,7,5
7783,7,8
7784,7,15
7785,7,19
7786,9,2
7787,9,5
7788,9,8
7789,9,16
7790,9,18
57734,10,8
57735,10,15
57736,10,4
57737,10,2
57738,10,19
57739,10,13
7791,11,2
7792,11,8
7793,11,13
7794,11,14
7795,11,16
7796,11,17
39592,12,3
39593,12,4
39594,12,8
39595,12,15
39596,12,16
39597,12,19
57740,13,8
57741,13,15
57742,13,4
57743,13,3
57744,13,12
47556,16,3
47557,16,4
47558,16,8
47559,16,15
47560,16,19
41893,17,2
41894,17,4
41895,17,8
41896,17,16
41897,17,19
41898,18,2
41899,18,4
41900,18,8
41901,18,11
41902,18,16
41903,18,19
7797,19,3
7798,19,5
7799,19,8
7800,19,12
7801,19,16
7802,19,17
68623,21,8
68624,21,9
68625,21,16
68626,21,5
68627,21,4
68628,21,2
68629,21,19
47561,22,3
47562,22,4
47563,22,8
47564,22,10
47565,22,15
47566,22,19
10887,24,2
10888,24,4
10889,24,5
10890,24,8
10891,24,9
10892,24,12
10893,24,16
10894,24,19
88873,27,7
88874,27,8
88875,27,9
88876,27,6
88877,27,16
88878,27,14
88879,27,2
88880,27,11
88881,27,10
88882,27,19
88883,27,13
88884,27,12
88885,28,7
88886,28,8
88887,28,9
88888,28,6
88889,28,16
88890,28,14
88891,28,2
88892,28,11
88893,28,19
88894,28,13
88895,28,12
54247,31,8
54248,31,15
54249,31,4
54250,31,3
54251,31,18
47371,32,2
47372,32,4
47373,32,8
47374,32,11
47375,32,15
47376,32,17
55635,33,8
55636,33,15
55637,33,4
55638,33,3
55639,33,19
53908,34,8
53909,34,9
53910,34,6
53911,34,15
53912,34,14
53913,34,2
53914,34,10
53915,34,17
53916,34,12
64447,35,8
64448,35,14
64449,35,2
64450,35,17
64753,36,8
64754,36,15
64755,36,14
64756,36,2
64757,36,17
50584,38,8
50585,38,9
50586,38,14
50587,38,2
50588,38,19
50589,38,13
78048,40,8
78049,40,9
78050,40,6
78051,40,15
78052,40,14
78053,40,2
78054,40,11
78055,40,10
78056,40,3
78057,40,19
78058,40,13
78059,40,12
