id,artwork_id,artwork_symbol_id
270,2,273
104466,6919,656
73049,2,556
41,3,22
864,3,142
23038,3,26
104467,885,41
23040,3,92
104468,1979,41
437,4,92
24528,4,22
104469,10830,41
24530,4,185
104470,10842,41
1370,5,599
1379,5,212
62981,6,22
62982,6,639
46020,7,208
46022,7,111
104471,14576,41
104472,16770,41
46025,7,177
46026,7,325
104473,17011,41
46063,7,89
49009,8,273
49010,8,93
49011,8,102
105407,2,556
132852,2,779
106217,3,142
127235,4,92
119472,5,631
119473,6,631
131294,6,639
49012,8,119
107851,8,249
46030,9,325
46031,9,201
46032,9,404
86757,9,111
71373,10,142
71374,10,177
71375,10,325
106878,10,142
122437,10,177
46033,11,22
46034,11,208
46036,11,89
46037,11,102
46038,11,111
86759,11,201
86761,11,89
105067,11,208
48373,12,89
48374,12,99
48375,12,102
113818,12,14
71380,13,142
71381,13,177
106879,13,142
122438,13,177
49013,14,92
49014,14,102
49016,14,133
49017,14,185
107852,14,249
70098,15,53
70099,15,99
70100,15,102
70101,15,102
70102,15,102
70103,15,249
105583,15,99
107902,15,249
112218,15,247
129331,15,102
525,16,93
53275,16,22
101087,16,185
127549,16,92
55664,17,54
55665,18,4
46044,19,23
46047,19,97
46048,19,111
46064,19,89
86764,19,4
25358,20,22
25359,20,177
36410,21,23
36411,21,92
36413,21,210
450,22,92
53277,22,22
53278,22,53
53279,22,93
101088,22,185
101089,22,244
112318,22,244
127550,22,92
49018,23,23
49019,23,46
49020,23,77
49021,23,81
49022,23,93
49023,23,119
49024,23,133
49025,23,273
49026,23,319
107853,23,249
52408,24,23
52409,24,86
52410,24,87
52411,24,92
52412,24,211
52414,24,142
52416,24,193
52417,24,325
52420,24,18
52421,24,201
52423,24,556
52427,24,123
89257,24,211
89259,24,185
89260,24,185
89263,24,142
108670,24,433
73141,25,93
73142,25,99
73143,25,102
73144,25,102
73145,25,102
105627,25,99
129454,25,102
68680,26,61
68681,26,142
68682,26,200
68683,26,251
68685,26,54
106791,26,142
124043,26,200
42513,27,26
42514,27,44
42515,27,135
42516,27,290
130837,27,411
42527,28,22
42528,28,44
42529,28,163
42530,28,201
130838,28,411
77319,29,177
77320,29,193
122600,29,177
38459,31,54
38460,31,102
38461,31,177
103050,31,11
116899,31,54
121814,31,177
128859,31,102
132603,31,779
503,32,93
1347,32,61
52824,32,22
41702,33,22
41704,33,135
41705,33,142
