Id.,name
2,Acuarela
35,Acuarela sobre marfil
28,Azulejo
3,Biombo Óleo Tela
60,Bordado/seda
4,Ceras
59,Crayón
45,Esmalte sobre cobre
43,Esmalte sobre porcelana
20,Fotografía
44,Gouache
36,Grabado
5,Grabado en hojalata
6,Grabado en seda
7,Grabado iluminado
52,Grabado metal bordado
53,Grabado metal iluminado
39,Grafito sobre papel
48,Grafito sobre tela
58,Mezzotinta
49,Miniatura
8,Óleo aguafuerte
9,Óleo alabastro
29,Óleo en papel sobre madera
10,Óleo madera techo
11,Óleo mármol
32,Óleo porcelana
54,Oleo sobre carey
33,Óleo sobre concha
12,Óleo sobre cuero
55,Óleo sobre espejo
31,Óleo sobre grabado
30,Óleo sobre lámina / cobre / zinc
14,Óleo sobre madera
46,Óleo sobre marfil
15,Óleo sobre papel
57,Óleo sobre pergamino
51,Óleo sobre piedra
50,Óleo sobre plata
16,Óleo sobre tela
47,Óleo sobre vidrio
40,Pastel
18,Pintura mural
19,Plumaria
42,Sepia sobre marfil
38,Sepia sobre papel
21,Tabla Enconchada
22,Tapiz
23,Técnica mixta madera
24,Técnica mixta Óleo tela madera
25,Técnica mixta sobre tela
37,Témpera sobre tela
26,Temple madera
56,Temple sobre algodón
34,Temple sobre marfil
27,Temple tela
41,Tinta sobre papel
13,Óleo / acuarela sobre hueso
17,Óleo sobre nácar o madreperla
