id,Lugar,latitud,longitud,,
2074,Abby Aldrich Rockefeller Folk Art Center Art Museum (Williamsburg),37.2684892,-76.7047413,,
1936,Academia Colombiana de Historia (Bogotá),4.5978269,-74.0769641,,
1524,Acervo Artístico do Ministério das Relações Exteriores Palácio Itamaraty,-15.8006783,-47.8672969,,
1740,Albany Institute of History and Arts (Albany),42.655725,-73.760233,,
558,Alcaldía de La Paz,-16.4981187,-68.1339763,,
1904,Alcaldía Villa de Leyva,5.633892,-73.522849,,
1721,Allentown Art Museum (Allentown),40.6043712,-75.4678584,,
932,"American Antiquarian Society (Worcester, MA)",42.27843897,-71.8101318,,
2109,American Folk Art Museum (Nueva York),40.7732389,-73.9814889,,
2092,American Jewish Historical Society (Nueva York),40.7380406,-73.9937524,,
1742,Amon Carter Museum of American Art (Forth Worth),32.747867,-97.368447,,
188,Antiguo Colegio del Espiritu Santo (actual rectoría de la BUAP),19.04209131,-98.19514368,,
602,Antiguo Colegio san Ildelfonso (CdMx),19.43713016,-99.13092777,,
2116,Antiguo Palacio del Ayuntamiento (CdMx),19.43245955,-99.13415851,,
1089,Archdiocese of New Orleans (Nueva Orleans),29.95767994,-90.11508144,,
2111,Architect of the Capitol (Washington),38.8867237,-77.0085731,,
855,Archivo General de Indias (Sevilla),37.38549944,-5.993115958,,
971,Archivo Histórico de la Compañía de Jesús (CdMx),19.3583776,-99.16882032,,
940,Archivo Regional (Cuzco),-13.52097199,-71.95833553,,
2143,"Arquidiócesis de Santa Fe y Museo (Santa Fe, EU)",35.6860647,-105.9360327,,
1139,Arquidiócesis Primada de México (Ciudad de México),19.43920379,-99.15739527,,
1473,Arzobispado de Buenos Aires (Buenos Aires),-34.6076439,-58.37319535,,
376,Arzobispado de Oaxaca de Antequera (Oaxaca),17.06744926,-96.72433273,,
709,Arzobispado de Puebla (Puebla),19.04149518,-98.20063144,,
379,Arzobispado de san Luis Potosí (San Luis Potosí),22.15131921,-100.9780529,,
907,Arzobispado Santa fe de Antioquia (Santa Fe de Antioquia),6.558212835,-75.82982565,,
1028,"Austin Auction Gallery (Austin, TX)",30.4570124,-97.7658905,,
